"id";"image";"theme";"design";"punning";"cf";"cf_url";"memo"
"1";"no-image.png";"安存百合";"鹌鹑 + 百合";"quail-2+Chinese day-lily bulb-1";;;"-"
"2";"a6492.jpg";"安和图";"鹌鹑 + 禾";"quail+cereal plant";"anonymous Song painting, Palace Museum Monthly, No.158";;"-"
"3";"a3813.jpg";"安和图";"鹌鹑 + 禾";"quail+cereal plant";"佚名宋画 载故宫文物月刊14卷 2期 封底";;"-"
"4";"a0276.jpg";"安居（图）";"鹌鹑 + 菊花";"quail+chrysanthemum";"-";;"Liu & Wang 1991:5; Hongxian overglaze enamel flower pot with saucer, Arts of Asia, May - June 1992; 18th century enameled glass snuff bottle No. 96 in Hall 1990b; Daoguang fencai vase in 钱振宗主编 清代瓷器赏鉴 香港：中华书局(香港)有限公司 1994， p. 211, pl 271"
"5";"a6493.jpg";"安居乐业";"鹌鹑 + 菊花 + 叶子";"quail+chrysanthemum+falling leaves";"-";;"Liu & Wang 1991:5; Hongxian overglaze enamel flower pot with saucer, Arts of Asia, May - June 1992; 18th century enameled glass snuff bottle No. 96 in Hall 1990b; Daoguang fencai vase in 钱振宗主编 清代瓷器赏鉴 香港：中华书局(香港)有限公司 1994， p. 211, pl 271"
"6";"Screen Shot 2015-10-23 at 13.14.32.png";"安居（图）";"鹌鹑 + 菊花";"quail+chrysanthemum";"http://www.metmuseum.org/collection/the-collection-online/search/45327?rpp=30&pg=7&ft=Chrysanthemum&pos=206";"http://www.metmuseum.org/collection/the-collection-online/search/45327?rpp=30&pg=7&ft=Chrysanthemum&pos=206";
"7";"a7123.jpg";"安居（图）";"鹌鹑 + 菊花";"quail+chrysanthemum";"-";;"Liu & Wang 1991:5; Hongxian overglaze enamel flower pot with saucer, Arts of Asia, May - June 1992; 18th century enameled glass snuff bottle No. 96 in Hall 1990b; Daoguang fencai vase in 钱振宗主编 清代瓷器赏鉴 香港：中华书局(香港)有限公司 1994， p. 211, pl 271"
"8";"a5098.jpg";"安居（图）";"鹌鹑 + 菊花";"quail+chrysanthemum";"-";;"Liu & Wang 1991:5; Hongxian overglaze enamel flower pot with saucer, Arts of Asia, May - June 1992; 18th century enameled glass snuff bottle No. 96 in Hall 1990b; Daoguang fencai vase in 钱振宗主编 清代瓷器赏鉴 香港：中华书局(香港)有限公司 1994， p. 211, pl 271"
"9";"a7115.jpg";"安居（图）";"鹌鹑 + 菊花";"quail+chrysanthemum";"-";;"Liu & Wang 1991:5; Hongxian overglaze enamel flower pot with saucer, Arts of Asia, May - June 1992; 18th century enameled glass snuff bottle No. 96 in Hall 1990b; Daoguang fencai vase in 钱振宗主编 清代瓷器赏鉴 香港：中华书局(香港)有限公司 1994， p. 211, pl 271"
"10";"a9090.jpg";"安居（图）";"鹌鹑 + 菊花";"quail+chrysanthemum";"Palace Museum ed. Masterpieces of Snuff Bottles in the Palace Museum, Beijing: Forbidden City Publishing House, 1995, p. 156, pl. 158, 菊花鹌鹑 H 6.2 W 2.6cm";;
"11";"a7036.jpg";"安喜图";"鹌鹑 + 喜鹊";"quail+magpie";"王渊 1343年作 安喜图 立轴 文物天地2004-7";;
"12";"a9743.jpg";"八百遐龄";"八哥 + 柏树 + 桃花";"Chinese Crested mynah+cypress+xialing";"此处任颐的作品许是该双关谐音字谜画题的一种变形---长尾的“燕子”替代了“八哥”。任颐 海上四任精品：故宫博物院藏任熊、任薰、任颐、任预绘画选集 石家庄: 河北美术出版社, 1992, p. 97左";;"referred to in Wang, Yaoting 1988 `庭园写生的明清时代文饰', The National Palace Museum monthly of Chinese art, No. 65, p.54"
"13";"a9767.jpg";"八百有零";"八哥 + 柏树";"Chinese Crested mynah+cypress";"支那南画大成续集 河井荃庐等监修 东京: 兴文社, 1935卷六 p. 198";;"-"
"14";"babaichangchun-1.png";"八百长春";"八哥 + 长春花 + 柏树";"Chinese Crested mynah+china rose-1+cypress";"清 阿克章阿 纸本设色 北京故宫博物院藏";;"呂紀花鳥畫特展 國立故宮博物院編輯委員會編輯 臺北: 國立故宮博物院, 1995 p.160 '《宣德宝绘》卷跋 国初边景昭有“八节长春”之景 当时御笔亦多仿其意 于令节赐大臣'； ‘当是八哥与月季’"
"15";"a9565.jpg";"百瓞";"百 + 蝴蝶";"hundred+butterflies";"故宫文物月刊43, 四卷七期26页清粉彩百瓞瓶故宫博物院藏";;"Liu & Wang 1991:16; Guangxu fencai vase in Liu 1991:243"
"16";"a9233.jpg";"百福并臻";"百 + 蝙蝠";"hundred+bats";"清盛世瓷选粹 / 主编冯先铭, 耿宝昌 ; 副主编叶佩兰 北京: 紫禁城出版社, 1994";;"汪庆正#67"
"17";"a6480.jpg";"百福繁生";"柏树 + 蝙蝠 + 幡旗 + 升";"cypress+bat+banner+bushel";"-";;"-"
"18";"a3809.jpg";"百福繁生";"柏树+ 蝙蝠 + 幡旗 + 笙";"cypress+bat+banner+bamboo windpipe";"-";;"-"
"19";"baiji.jpg";"百吉";"百 + 鸡";"hundred+chickens";;;"Yao, Yuanlong 吉祥图案资料 1989:104"
"20";"no-image.png";"百吉如意";"百合 + 橘子 + 如意";"Chinese day-lily bulb+tangerine+sceptre";;;"-"
"21";"a6481.jpg";"百爵";"百 + 雀";"hundred+sparrows";"-";;"1.anonymous Yuan painting, plate 16, p. 232 in Wenwu Guanghua; 2.Daoguan famille-rose bowl, plate 251 of Sotheby’s Catalogue 15 May, 1990 Hong Kong; 3. blue and white jar, accession No. 30857, Lee Kong Chian Art Museum, The National University of Singapore 耿宝昌2000中/240 崇祯缸； 4.A-12-075, Yale University Gallery, Comprehensive Illustrated Catalogue of Chinese Paintings: Second Series, Vol. 1, University of Tokyo Press 1998； 5.Christie HK97/4/27/684 万历 Guimet 33S569"
"22";"a3247a.jpg";"百爵";"百 + 雀";"hundred+sparrows";"-";;"1.anonymous Yuan painting, plate 16, p. 232 in Wenwu Guanghua; 2.Daoguan famille-rose bowl, plate 251 of Sotheby’s Catalogue 15 May, 1990 Hong Kong; 3. blue and white jar, accession No. 30857, Lee Kong Chian Art Museum, The National University of Singapore 耿宝昌2000中/240 崇祯缸； 4.A-12-075, Yale University Gallery, Comprehensive Illustrated Catalogue of Chinese Paintings: Second Series, Vol. 1, University of Tokyo Press 1998； 5.Christie HK97/4/27/684 万历 Guimet 33S569"
"23";"no-image.png";"百龄眉寿";"柏树 + 梅 + 绶带鸟";"cypress+prunus+long-tailed bird";;;"-"
"24";"bailingmeishou.jpg";"百龄眉寿";"柏树 + 梅 + 太湖石";"cypress+prunus+longevity rock";"金心兰，名湅，字心兰，号冷香，又号瞎牛，一号瞎牛庵主，自署冷香馆主人，长洲（今江苏苏州）人。上海新华拍卖有限公司2015迎春古玩艺术品拍卖会，拍品编号：0078，2015-01-18";;"-"
"25";"a8573.jpg";"百龄食禄";"柏树 + 鹿";"cypress+deer";"金井紫云编 东洋画题综览，京都: 芸草堂, 1941";;"-"
"26";"a9562.jpg";"百龄食禄";"柏树 + 鹿";"cypress+deer";"Chou Ju-Hsi, Journeys on Paper and Silk, 1998, p. 98, pl. 35, Leaf F Shen Quan 1682-ca.1760, 20.6x31";;"-"
"27";"a9553.jpg";"百龄食禄";"柏树 + 鹿";"cypress+deer";"京江画派 赵力著 济南市: 山东美术出版社, 2004, p. 24, pl. 6 蒋璋";;"-"
"28";"a5321.jpg";"百禄";"百 + 鹿";"hundred+deers";"-";;"Meng 1991:66; Ming painting by Zhang Hong, plate 20, p. 231 in Wenwu Guanghua; Qianlong yangcai-enamelled vase, in Orientations 1986/1, p. 30; jardinere in wucai decoration, Lee Kong Chien Museum Collection, The National University of Singapore; #67 Guimet 26S572; 故宫文物月刊43, 四卷七期23页明五彩百禄尊故宫博物院藏"
"29";"a6491.jpg";"百禄";"百 + 鹿";"hundred+deers";"-";;"Meng 1991:66; Ming painting by Zhang Hong, plate 20, p. 231 in Wenwu Guanghua; Qianlong yangcai-enamelled vase, in Orientations 1986/1, p. 30; jardinere in wucai decoration, Lee Kong Chien Museum Collection, The National University of Singapore; #67 Guimet 26S572; 故宫文物月刊43, 四卷七期23页明五彩百禄尊故宫博物院藏"
"30";"a6032.jpg";"百禄";"百 + 鹿";"hundred+deers";"Qianlong fencai vase in Qian 1994:117, 43.5x16.3x24.7";;"Meng 1991:66; Ming painting by Zhang Hong, plate 20, p. 231 in Wenwu Guanghua; Qianlong yangcai-enamelled vase, in Orientations 1986/1, p. 30; jardinere in wucai decoration, Lee Kong Chien Museum Collection, The National University of Singapore; #67 Guimet 26S572; 故宫文物月刊43, 四卷七期23页明五彩百禄尊故宫博物院藏"
"31";"a9539.jpg";"百禄";"百 + 鹿";"hundred+deers";"清盛世瓷选粹 主编冯先铭, 耿宝昌 北京: 紫禁城出版社, 1994 p.279, pl.12";;"Meng 1991:66; Ming painting by Zhang Hong, plate 20, p. 231 in Wenwu Guanghua; Qianlong yangcai-enamelled vase, in Orientations 1986/1, p. 30; jardinere in wucai decoration, Lee Kong Chien Museum Collection, The National University of Singapore; #67 Guimet 26S572; 故宫文物月刊43, 四卷七期23页明五彩百禄尊故宫博物院藏"
"32";"bainianhaohe.jpg";"百年好合";"百合 + 盒子";"Chinese day-lily bulb+box";;;"-"
"33";"baishidaji.jpg";"百事大吉";"百合 + 柿子 + 橘子";"Chinese day-lily bulb+persimmon-1+tangerine";;;"Meng 1991:67"
"34";"a9239.jpg";"百世多吉";"百 + 柿子 + 橘子";"hundred+persimmon-2+tangerine";"主编郎绍君, 郭天民 齐白石全集 长沙市: 湖南美术出版社, 1996，Vol. 7, pl. 122 册页 纸本 水墨设色 64.5 x 64cm 1952 私人藏";;"-"
"35";"a5263.jpg";"百事如意";"百合 + 柿子 + 灵芝";"Chinese day-lily bulb+persimmon-1+lucid ganoderma";"-";;"Meng 1991:68-9; Qianlong kesi piece, plate on back page of The National Palace Museum Monthly No. 11; hanging scroll by Kong Ziyu (b 1899) 273 in Hanya catalogue 12/18/96; hanging scroll, in the collection of Lee Kong Chian Art Museum, The National University of Singapore 穆益勤编著 明代院体浙派史料 上海人民美术出版社 1985 241-2页 成化题诗 柏柿如意 一脉春回暖气随 风云万里值明时 画图今日来佳兆 如意年年百事宜 钟馗百图 王兰西、王树村编著 支那名画宝鉴"
"36";"a4389.jpg";"百事如意";"百合 + 柿子 + 灵芝";"Chinese day-lily bulb+persimmon-1+lucid ganoderma";"-";;"Meng 1991:68-9; Qianlong kesi piece, plate on back page of The National Palace Museum Monthly No. 11; hanging scroll by Kong Ziyu (b 1899) 273 in Hanya catalogue 12/18/96; hanging scroll, in the collection of Lee Kong Chian Art Museum, The National University of Singapore 穆益勤编著 明代院体浙派史料 上海人民美术出版社 1985 241-2页 成化题诗 柏柿如意 一脉春回暖气随 风云万里值明时 画图今日来佳兆 如意年年百事宜 钟馗百图 王兰西、王树村编著 支那名画宝鉴"
